;date;Confinement ;Phase;Phase
537;2020-09-23 09:00:00;0;1ère phase;0
538;2020-09-23 10:00:00;0;1ère phase;0
539;2020-09-23 11:00:00;0;1ère phase;0
540;2020-09-23 12:00:00;0;1ère phase;0
541;2020-09-23 13:00:00;0;1ère phase;0
542;2020-09-23 14:00:00;0;1ère phase;0
543;2020-09-23 15:00:00;0;1ère phase;0
544;2020-09-23 16:00:00;0;1ère phase;0
545;2020-09-23 17:00:00;0;1ère phase;0
546;2020-09-23 18:00:00;0;1ère phase;0
547;2020-09-23 19:00:00;0;1ère phase;0
548;2020-09-23 20:00:00;0;1ère phase;0
549;2020-09-23 21:00:00;0;1ère phase;0
550;2020-09-23 22:00:00;0;1ère phase;0
551;2020-09-23 23:00:00;0;1ère phase;0
552;2020-09-24 00:00:00;0;1ère phase;0
553;2020-09-24 01:00:00;0;1ère phase;0
554;2020-09-24 02:00:00;0;1ère phase;0
